Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,CoverTypeBinary
3039.0,118.0,12.0,210.0,2.0,912.0,241.0,229.0,116.0,1626.0,0
3179.0,95.0,18.0,256.0,19.0,5295.0,246.0,210.0,86.0,2865.0,1
2723.0,17.0,21.0,234.0,107.0,1124.0,197.0,191.0,124.0,871.0,1
3077.0,64.0,16.0,85.0,10.0,3589.0,233.0,206.0,100.0,2893.0,1
2836.0,52.0,16.0,150.0,31.0,153.0,227.0,204.0,106.0,342.0,0
2999.0,78.0,12.0,120.0,27.0,2147.0,235.0,219.0,114.0,2549.0,0
3014.0,221.0,14.0,134.0,30.0,2940.0,202.0,253.0,185.0,457.0,1
2991.0,6.0,7.0,272.0,16.0,3154.0,211.0,226.0,152.0,6091.0,0
2283.0,356.0,11.0,0.0,0.0,108.0,202.0,220.0,155.0,977.0,1
2709.0,93.0,10.0,201.0,41.0,1155.0,236.0,225.0,120.0,3037.0,1
2982.0,27.0,10.0,210.0,-24.0,2089.0,216.0,219.0,139.0,1179.0,0
3048.0,337.0,16.0,0.0,0.0,3290.0,183.0,216.0,171.0,2743.0,0
3172.0,331.0,11.0,342.0,30.0,1050.0,195.0,227.0,171.0,2415.0,0
3131.0,207.0,13.0,60.0,8.0,2359.0,211.0,252.0,174.0,834.0,1
3248.0,111.0,20.0,162.0,22.0,1689.0,250.0,214.0,83.0,2904.0,0
2972.0,153.0,6.0,67.0,7.0,4952.0,228.0,240.0,146.0,5770.0,0
2936.0,291.0,10.0,60.0,11.0,2550.0,192.0,239.0,186.0,518.0,1
3321.0,72.0,21.0,67.0,9.0,2282.0,238.0,196.0,79.0,2151.0,0
3097.0,114.0,5.0,313.0,20.0,2527.0,228.0,235.0,141.0,1983.0,0
2902.0,305.0,12.0,201.0,29.0,2658.0,187.0,233.0,186.0,2324.0,0
3271.0,134.0,17.0,750.0,155.0,2521.0,245.0,230.0,107.0,2489.0,0
3090.0,0.0,8.0,30.0,4.0,3182.0,208.0,225.0,154.0,5194.0,0
3067.0,307.0,5.0,547.0,76.0,5767.0,207.0,237.0,169.0,5139.0,0
2789.0,0.0,7.0,594.0,98.0,2870.0,210.0,228.0,155.0,1509.0,1
2767.0,185.0,16.0,60.0,10.0,1613.0,221.0,249.0,156.0,2363.0,1
3026.0,2.0,6.0,402.0,53.0,2563.0,212.0,229.0,154.0,331.0,0
2879.0,33.0,18.0,120.0,54.0,1666.0,214.0,198.0,114.0,2791.0,1
3083.0,104.0,22.0,150.0,16.0,1452.0,251.0,206.0,72.0,1380.0,0
2960.0,304.0,7.0,569.0,4.0,1528.0,201.0,237.0,175.0,1337.0,1
3261.0,13.0,23.0,1100.0,244.0,1860.0,192.0,187.0,125.0,2242.0,0
3099.0,97.0,10.0,365.0,28.0,1749.0,236.0,226.0,120.0,1531.0,0
3260.0,42.0,19.0,589.0,189.0,3603.0,219.0,195.0,104.0,1895.0,0
2762.0,165.0,27.0,60.0,0.0,1266.0,231.0,237.0,118.0,2026.0,1
3149.0,63.0,3.0,247.0,36.0,3822.0,222.0,233.0,146.0,3241.0,0
2900.0,123.0,14.0,379.0,13.0,912.0,243.0,228.0,111.0,2486.0,1
3197.0,0.0,14.0,591.0,64.0,4286.0,199.0,214.0,151.0,3350.0,0
3246.0,135.0,13.0,30.0,-3.0,1159.0,240.0,234.0,122.0,1249.0,0
3213.0,346.0,15.0,90.0,39.0,3376.0,190.0,215.0,163.0,2465.0,0
3128.0,110.0,28.0,182.0,51.0,3885.0,254.0,196.0,50.0,2262.0,0
3011.0,213.0,11.0,283.0,-9.0,5613.0,210.0,250.0,175.0,2799.0,0
2740.0,254.0,4.0,216.0,22.0,2412.0,210.0,242.0,170.0,6902.0,0
2997.0,320.0,16.0,150.0,20.0,1240.0,177.0,223.0,185.0,1839.0,1
3192.0,146.0,5.0,67.0,2.0,2513.0,227.0,239.0,146.0,1015.0,0
2894.0,212.0,21.0,120.0,53.0,612.0,196.0,254.0,186.0,1655.0,1
3014.0,189.0,18.0,90.0,23.0,2703.0,218.0,251.0,159.0,1632.0,1
2721.0,306.0,8.0,108.0,18.0,2396.0,198.0,236.0,178.0,5156.0,1
2640.0,162.0,16.0,313.0,40.0,899.0,234.0,242.0,135.0,2447.0,1
2607.0,40.0,16.0,376.0,10.0,655.0,220.0,204.0,114.0,911.0,1
3244.0,234.0,8.0,0.0,0.0,1173.0,206.0,248.0,179.0,1736.0,0
2851.0,26.0,28.0,451.0,96.0,1442.0,194.0,167.0,95.0,781.0,1
3078.0,258.0,12.0,0.0,0.0,1616.0,192.0,247.0,193.0,1050.0,0
2611.0,40.0,16.0,361.0,47.0,685.0,220.0,204.0,114.0,2879.0,1
2812.0,27.0,12.0,743.0,119.0,420.0,215.0,214.0,134.0,1087.0,1
3088.0,323.0,26.0,182.0,47.0,1996.0,146.0,203.0,192.0,1838.0,1
3129.0,126.0,16.0,792.0,81.0,2884.0,245.0,227.0,106.0,2761.0,1
3391.0,295.0,5.0,323.0,15.0,2992.0,206.0,238.0,172.0,1976.0,0
2834.0,126.0,14.0,309.0,38.0,2580.0,243.0,229.0,112.0,1698.0,1
2944.0,201.0,19.0,630.0,187.0,1294.0,209.0,253.0,172.0,1746.0,1
2839.0,39.0,12.0,330.0,18.0,2697.0,220.0,213.0,126.0,3707.0,0
3187.0,310.0,12.0,108.0,7.0,1205.0,187.0,232.0,185.0,1189.0,0
3156.0,58.0,36.0,124.0,60.0,3933.0,219.0,142.0,0.0,1027.0,0
3337.0,244.0,22.0,450.0,116.0,1841.0,171.0,251.0,213.0,3396.0,0
3092.0,76.0,4.0,30.0,1.0,1632.0,225.0,232.0,143.0,3152.0,0
2908.0,63.0,24.0,108.0,16.0,630.0,233.0,183.0,70.0,1831.0,1
2783.0,91.0,11.0,0.0,0.0,1442.0,237.0,223.0,115.0,2233.0,1
3198.0,56.0,14.0,212.0,5.0,1905.0,228.0,209.0,111.0,706.0,0
3234.0,95.0,17.0,511.0,73.0,1240.0,245.0,212.0,90.0,1797.0,0
3091.0,54.0,8.0,0.0,0.0,1583.0,225.0,223.0,131.0,624.0,0
3150.0,24.0,11.0,42.0,2.0,2197.0,214.0,215.0,136.0,2789.0,0
2919.0,129.0,6.0,85.0,-5.0,1744.0,230.0,236.0,139.0,1812.0,0
2664.0,205.0,31.0,108.0,45.0,1890.0,185.0,250.0,180.0,1087.0,1
3273.0,121.0,18.0,85.0,8.0,1271.0,247.0,223.0,97.0,1321.0,0
2981.0,251.0,24.0,446.0,167.0,1756.0,160.0,248.0,221.0,684.0,1
3059.0,253.0,6.0,0.0,0.0,1867.0,207.0,244.0,175.0,424.0,0
2978.0,318.0,6.0,95.0,16.0,3231.0,205.0,235.0,169.0,6354.0,0
2838.0,355.0,6.0,285.0,40.0,2029.0,211.0,230.0,157.0,1742.0,1
3042.0,331.0,23.0,153.0,46.0,484.0,161.0,205.0,180.0,2220.0,0
3221.0,45.0,2.0,90.0,5.0,3167.0,220.0,234.0,150.0,1689.0,0
2937.0,73.0,19.0,150.0,44.0,2103.0,239.0,200.0,84.0,1679.0,1
2987.0,32.0,13.0,60.0,12.0,1159.0,216.0,210.0,127.0,700.0,0
3149.0,97.0,4.0,124.0,-2.0,4810.0,226.0,234.0,143.0,2096.0,0
2989.0,38.0,16.0,589.0,108.0,1734.0,218.0,203.0,115.0,2992.0,1
3042.0,11.0,11.0,108.0,21.0,1939.0,208.0,217.0,145.0,1380.0,0
3105.0,90.0,11.0,30.0,0.0,1850.0,237.0,222.0,114.0,400.0,0
3296.0,342.0,20.0,319.0,101.0,1570.0,176.0,207.0,168.0,2742.0,0
2873.0,75.0,28.0,67.0,52.0,700.0,240.0,175.0,46.0,541.0,1
2776.0,133.0,9.0,268.0,27.0,1939.0,235.0,236.0,131.0,2410.0,1
3188.0,114.0,6.0,212.0,13.0,3511.0,232.0,233.0,135.0,4525.0,0
3329.0,37.0,24.0,268.0,115.0,1822.0,211.0,179.0,92.0,2502.0,0
3033.0,203.0,13.0,484.0,66.0,4567.0,213.0,251.0,171.0,1513.0,1
2984.0,166.0,9.0,470.0,52.0,1910.0,228.0,243.0,148.0,2470.0,1
3235.0,4.0,13.0,218.0,36.0,330.0,203.0,215.0,149.0,1329.0,0
3100.0,54.0,13.0,30.0,7.0,2951.0,227.0,211.0,115.0,3327.0,0
3045.0,303.0,31.0,384.0,251.0,990.0,121.0,208.0,220.0,1366.0,0
2706.0,34.0,15.0,242.0,61.0,1080.0,216.0,206.0,121.0,1869.0,1
2847.0,348.0,17.0,150.0,33.0,4231.0,186.0,209.0,160.0,5117.0,1
2590.0,25.0,10.0,170.0,42.0,664.0,215.0,219.0,139.0,3088.0,1
2919.0,81.0,8.0,342.0,-8.0,808.0,231.0,226.0,128.0,2375.0,1
2903.0,276.0,19.0,127.0,34.0,4063.0,165.0,240.0,213.0,730.0,1
3068.0,353.0,13.0,30.0,7.0,2603.0,197.0,217.0,157.0,774.0,0
2925.0,75.0,16.0,658.0,127.0,3084.0,238.0,207.0,95.0,595.0,1
3096.0,50.0,27.0,30.0,15.0,3889.0,220.0,172.0,70.0,853.0,0
2892.0,195.0,10.0,42.0,4.0,1879.0,218.0,249.0,164.0,2250.0,1
2943.0,154.0,7.0,365.0,105.0,2223.0,229.0,241.0,145.0,1302.0,1
2903.0,25.0,18.0,339.0,50.0,3078.0,208.0,197.0,120.0,1869.0,1
2642.0,275.0,29.0,153.0,65.0,1099.0,131.0,232.0,234.0,1939.0,1
3231.0,93.0,9.0,618.0,23.0,3904.0,235.0,226.0,121.0,2918.0,0
3037.0,241.0,27.0,371.0,-53.0,2955.0,160.0,250.0,219.0,990.0,1
3064.0,190.0,14.0,127.0,11.0,2030.0,219.0,250.0,161.0,30.0,0
2552.0,339.0,39.0,180.0,109.0,930.0,109.0,154.0,165.0,1638.0,1
3052.0,133.0,8.0,60.0,7.0,1572.0,233.0,236.0,135.0,2886.0,0
3234.0,49.0,5.0,365.0,0.0,162.0,222.0,229.0,143.0,1112.0,0
2897.0,298.0,12.0,120.0,33.0,1986.0,185.0,236.0,190.0,1006.0,1
3244.0,30.0,19.0,108.0,6.0,4161.0,211.0,196.0,116.0,3445.0,0
2961.0,302.0,15.0,175.0,-19.0,3771.0,178.0,232.0,194.0,1530.0,1
3226.0,270.0,7.0,240.0,2.0,5975.0,203.0,242.0,179.0,1236.0,0
3174.0,147.0,18.0,256.0,-8.0,2337.0,242.0,235.0,115.0,466.0,0
2624.0,83.0,12.0,30.0,7.0,1092.0,237.0,219.0,112.0,474.0,1
2683.0,333.0,18.0,150.0,26.0,1890.0,175.0,214.0,176.0,2240.0,1
2917.0,278.0,26.0,134.0,27.0,5094.0,142.0,234.0,227.0,1364.0,1
3261.0,249.0,3.0,792.0,151.0,1830.0,212.0,242.0,167.0,2372.0,0
3175.0,8.0,11.0,564.0,55.0,1968.0,207.0,218.0,147.0,2550.0,0
2767.0,163.0,24.0,42.0,5.0,1259.0,234.0,238.0,119.0,2053.0,1
2800.0,59.0,28.0,485.0,273.0,1136.0,228.0,168.0,54.0,987.0,1
3004.0,270.0,7.0,810.0,108.0,5825.0,203.0,242.0,179.0,6199.0,1
3080.0,146.0,5.0,626.0,72.0,5894.0,228.0,239.0,145.0,1566.0,0
2675.0,80.0,10.0,30.0,6.0,1825.0,234.0,223.0,120.0,2423.0,1
3083.0,37.0,9.0,283.0,10.0,2704.0,220.0,219.0,134.0,2860.0,1
3095.0,156.0,8.0,0.0,0.0,4399.0,230.0,241.0,144.0,1471.0,0
2992.0,55.0,13.0,120.0,25.0,190.0,228.0,211.0,114.0,511.0,1
3208.0,315.0,8.0,492.0,105.0,3035.0,199.0,234.0,174.0,3723.0,0
2960.0,110.0,21.0,268.0,46.0,4533.0,250.0,212.0,80.0,1601.0,1
3170.0,197.0,14.0,360.0,30.0,2274.0,215.0,251.0,167.0,811.0,0
3167.0,356.0,15.0,258.0,69.0,3596.0,195.0,212.0,154.0,3271.0,0
2937.0,321.0,15.0,402.0,91.0,3124.0,180.0,224.0,183.0,1974.0,0
3261.0,137.0,11.0,443.0,54.0,1221.0,237.0,236.0,129.0,2512.0,1
2846.0,0.0,15.0,60.0,12.0,1455.0,196.0,210.0,150.0,2563.0,0
3254.0,276.0,14.0,720.0,144.0,1201.0,181.0,242.0,200.0,2803.0,0
3223.0,36.0,2.0,700.0,54.0,1443.0,219.0,234.0,152.0,2508.0,1
2826.0,83.0,28.0,242.0,161.0,1412.0,246.0,178.0,42.0,1022.0,1
2834.0,3.0,16.0,150.0,39.0,2496.0,197.0,208.0,146.0,2814.0,1
2799.0,101.0,9.0,319.0,47.0,2423.0,235.0,228.0,124.0,2616.0,1
3014.0,0.0,21.0,426.0,95.0,4696.0,184.0,196.0,145.0,3593.0,0
2922.0,127.0,19.0,0.0,0.0,1947.0,248.0,224.0,97.0,2847.0,1
2823.0,198.0,1.0,0.0,0.0,2588.0,218.0,239.0,157.0,2671.0,1
3293.0,119.0,23.0,216.0,34.0,2296.0,252.0,213.0,76.0,1913.0,0
3269.0,86.0,10.0,192.0,15.0,2722.0,234.0,224.0,120.0,2714.0,0
3210.0,205.0,4.0,362.0,62.0,492.0,217.0,243.0,162.0,765.0,0
2909.0,7.0,10.0,301.0,32.0,577.0,208.0,220.0,149.0,1727.0,1
3097.0,68.0,27.0,663.0,-77.0,1095.0,236.0,176.0,55.0,904.0,0
2776.0,279.0,20.0,60.0,10.0,1864.0,163.0,239.0,214.0,1670.0,0
3233.0,54.0,15.0,745.0,140.0,1712.0,227.0,206.0,108.0,3019.0,0
3149.0,6.0,5.0,0.0,0.0,4572.0,214.0,230.0,154.0,3036.0,0
2798.0,356.0,33.0,228.0,81.0,3156.0,150.0,163.0,137.0,1682.0,1
2780.0,51.0,9.0,0.0,0.0,1106.0,225.0,220.0,128.0,2151.0,1
3169.0,91.0,12.0,60.0,13.0,4702.0,239.0,220.0,109.0,1226.0,0
3195.0,270.0,8.0,446.0,60.0,459.0,199.0,243.0,183.0,2730.0,1
3272.0,30.0,22.0,170.0,65.0,1969.0,208.0,188.0,107.0,2173.0,0
3180.0,2.0,5.0,342.0,52.0,4616.0,212.0,229.0,155.0,2384.0,1
3021.0,9.0,9.0,234.0,23.0,3751.0,211.0,223.0,149.0,2193.0,1
2926.0,63.0,11.0,295.0,57.0,2072.0,230.0,218.0,121.0,2205.0,1
3070.0,32.0,9.0,60.0,3.0,6837.0,218.0,221.0,139.0,2833.0,1
3360.0,164.0,17.0,390.0,68.0,2989.0,233.0,243.0,134.0,1216.0,0
3331.0,333.0,15.0,424.0,15.0,5024.0,184.0,220.0,174.0,3060.0,0
3128.0,298.0,17.0,384.0,86.0,3123.0,172.0,232.0,200.0,1381.0,0
2621.0,279.0,9.0,272.0,52.0,1276.0,196.0,241.0,184.0,1321.0,1
2869.0,292.0,15.0,30.0,10.0,2604.0,176.0,236.0,199.0,342.0,1
3217.0,99.0,5.0,300.0,15.0,2525.0,228.0,233.0,140.0,1369.0,0
2765.0,52.0,15.0,0.0,0.0,1611.0,227.0,206.0,108.0,1397.0,0
2595.0,52.0,5.0,95.0,2.0,649.0,223.0,228.0,141.0,5706.0,1
3204.0,317.0,17.0,270.0,61.0,4629.0,174.0,223.0,188.0,1084.0,0
3227.0,42.0,15.0,90.0,26.0,3043.0,221.0,206.0,116.0,2363.0,0
3160.0,49.0,15.0,210.0,12.0,5463.0,225.0,207.0,113.0,2316.0,1
3108.0,108.0,8.0,426.0,15.0,5207.0,233.0,232.0,130.0,1421.0,0
3017.0,294.0,29.0,313.0,-86.0,1045.0,126.0,218.0,225.0,2797.0,0
3202.0,38.0,14.0,297.0,26.0,1379.0,219.0,209.0,122.0,1142.0,0
3141.0,159.0,11.0,466.0,-33.0,1080.0,231.0,242.0,141.0,1120.0,1
2910.0,105.0,27.0,582.0,105.0,534.0,253.0,195.0,51.0,702.0,0
3054.0,183.0,13.0,430.0,56.0,5731.0,223.0,248.0,156.0,1768.0,0
3112.0,46.0,15.0,216.0,28.0,1857.0,224.0,207.0,114.0,2728.0,1
3381.0,348.0,14.0,874.0,198.0,1061.0,193.0,216.0,161.0,708.0,0
2795.0,187.0,10.0,42.0,1.0,3662.0,222.0,248.0,159.0,3118.0,0
2819.0,134.0,24.0,67.0,17.0,4452.0,249.0,221.0,85.0,366.0,0
3314.0,329.0,18.0,797.0,86.0,2121.0,176.0,217.0,179.0,886.0,0
2925.0,69.0,10.0,150.0,5.0,4443.0,231.0,221.0,122.0,4440.0,0
3170.0,118.0,28.0,247.0,133.0,3734.0,254.0,202.0,55.0,2736.0,0
3191.0,104.0,10.0,361.0,17.0,5179.0,237.0,228.0,121.0,2343.0,0
2930.0,255.0,19.0,518.0,139.0,2249.0,173.0,248.0,211.0,1831.0,1
2775.0,95.0,13.0,30.0,2.0,2053.0,241.0,220.0,106.0,2676.0,1
3165.0,166.0,10.0,437.0,-41.0,564.0,229.0,244.0,145.0,2089.0,1
3101.0,279.0,16.0,726.0,64.0,1961.0,175.0,241.0,204.0,765.0,1
3094.0,79.0,11.0,90.0,17.0,2147.0,235.0,220.0,115.0,1746.0,0
2827.0,22.0,10.0,150.0,16.0,1398.0,214.0,218.0,140.0,3004.0,0
2898.0,268.0,5.0,361.0,30.0,1065.0,206.0,242.0,175.0,492.0,1
2975.0,99.0,26.0,297.0,128.0,6173.0,252.0,193.0,53.0,4131.0,1
3426.0,47.0,12.0,741.0,147.0,2117.0,224.0,214.0,122.0,1597.0,0
3075.0,182.0,21.0,150.0,17.0,1635.0,221.0,248.0,150.0,2259.0,0
3012.0,39.0,18.0,420.0,184.0,450.0,218.0,197.0,108.0,872.0,1
3534.0,25.0,13.0,510.0,122.0,2852.0,213.0,210.0,132.0,1690.0,0
2982.0,7.0,18.0,313.0,45.0,342.0,196.0,202.0,140.0,633.0,1
2529.0,191.0,4.0,0.0,0.0,800.0,219.0,242.0,159.0,824.0,0
2968.0,161.0,10.0,350.0,29.0,5976.0,230.0,243.0,143.0,3335.0,1
3180.0,44.0,17.0,228.0,43.0,1057.0,221.0,200.0,107.0,5046.0,0
3330.0,107.0,20.0,175.0,50.0,876.0,249.0,212.0,82.0,646.0,0
2809.0,42.0,20.0,190.0,22.0,2922.0,219.0,191.0,99.0,2264.0,0
3218.0,349.0,16.0,30.0,5.0,3029.0,189.0,212.0,160.0,4169.0,0
3100.0,276.0,7.0,67.0,4.0,2048.0,201.0,242.0,179.0,2460.0,0
3172.0,344.0,19.0,384.0,62.0,1657.0,178.0,206.0,165.0,2006.0,0
3158.0,177.0,18.0,524.0,91.0,2649.0,226.0,247.0,147.0,3121.0,1
3151.0,112.0,5.0,323.0,17.0,4344.0,229.0,234.0,139.0,1921.0,1
2773.0,1.0,14.0,85.0,10.0,741.0,199.0,213.0,150.0,2422.0,1
3024.0,164.0,17.0,1075.0,226.0,2754.0,233.0,243.0,134.0,1189.0,1
3223.0,250.0,18.0,708.0,157.0,6201.0,179.0,250.0,207.0,1698.0,1
3152.0,18.0,5.0,150.0,20.0,5600.0,216.0,229.0,150.0,661.0,0
3508.0,99.0,19.0,888.0,223.0,2489.0,247.0,210.0,84.0,1129.0,0
2890.0,176.0,24.0,182.0,60.0,3937.0,224.0,245.0,139.0,1442.0,1
2894.0,57.0,22.0,190.0,64.0,376.0,229.0,189.0,82.0,1614.0,1
3085.0,353.0,16.0,331.0,16.0,1140.0,191.0,211.0,156.0,3396.0,1
3079.0,307.0,12.0,90.0,6.0,4902.0,187.0,233.0,186.0,757.0,0
3038.0,63.0,3.0,360.0,-1.0,3212.0,222.0,233.0,146.0,1036.0,1
3200.0,78.0,8.0,592.0,84.0,2018.0,231.0,226.0,128.0,2841.0,0
3255.0,129.0,17.0,190.0,18.0,2253.0,245.0,228.0,106.0,1842.0,0
2896.0,320.0,8.0,0.0,0.0,854.0,200.0,233.0,172.0,2067.0,0
3046.0,130.0,12.0,450.0,71.0,2577.0,240.0,233.0,121.0,2764.0,1
2947.0,324.0,16.0,216.0,27.0,2856.0,177.0,221.0,182.0,466.0,0
2986.0,358.0,14.0,30.0,9.0,1507.0,197.0,212.0,152.0,1395.0,1
3161.0,114.0,26.0,170.0,72.0,997.0,254.0,203.0,60.0,1131.0,0
2982.0,34.0,7.0,272.0,37.0,4584.0,219.0,225.0,142.0,5713.0,1
